,区分,メニュー名称,卵,乳成分,小麦,えび,かに,そば,落花生,くるみ,アーモンド,あわび,いか,いくら,オレンジ,カシューナッツ,キウイフルーツ,牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン
91,寿司,大とろ包み,,,○,○,,,,,,,○,,,,,○,,○,,○,,,○,,,,○,
92,寿司,大盛り生うに包み,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
93,寿司,オニオンサーモン,●,○,○,○,○,,,,,,○,,,,,○,,●,○,●,,,○,,,,●,
94,寿司,オニオンサーモン(ミニしゃり),●,○,○,○,○,,,,,,○,,,,,○,,●,○,●,,,○,,,,●,
95,寿司,おろし焼とろサーモン,○,○,○,○,○,,,,,,○,,,,,○,,●,○,○,,,○,,,,○,
96,寿司,角煮チャーシュー軍艦,●,●,●,○,,,,,,,,,,,,○,,,,●,,,●,,,,●,
97,寿司,鹿児島県産タマクエ,,,○,○,○,,,,,,○,,,,,○,,○,○,○,,,○,,,,○,
98,寿司,数の子軍艦,,,●,○,,,,,,,,,,,,○,,,●,●,,,○,,,,○,
99,寿司,数の子松前漬け,,,●,●,●,,,,,,●,,,,,○,●,,●,●,,,○,,,,○,
100,寿司,かつおたたきユッケ,●,●,●,●,●,,,,,,○,,,,,○,●,○,○,●,○,,○,,,,●,○
101,寿司,かつおのたたキムチ,,,○,,,,,,,,,,,,,○,●,,,●,,,○,,●,,●,
102,寿司,かにカマ天にぎり,●,●,●,,●,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,●,○
103,寿司,カニ風サラダ,●,,●,●,●,,,,,,●,,,,,○,,,,●,,,○,,,,●,
104,寿司,カニ風サラダ・コーン,●,,●,●,●,,,,,,●,,,,,○,,,,●,,,○,,,,●,
105,寿司,カニ風サラダ・シーサラダ,●,●,●,●,●,,,,,,●,,,,,○,○,○,○,●,○,,○,,,,●,○
106,寿司,カニ風サラダ・ツナサラダ,●,●,●,●,●,,,,,,●,,,,,○,○,○,○,●,○,,○,,,,●,○
107,寿司,かにみそ,,○,●,○,●,,,,,,,,,,,○,,,,●,,,○,,,,○,
108,寿司,かに身の天ぷらにぎり,●,●,●,,●,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
109,寿司,釜揚げしらす軍艦,○,○,○,○,○,,,,,,,,,,,○,,,○,○,,,○,,,,○,
110,寿司,からマヨ軍艦,●,●,●,○,,,,,,,,,,,,○,○,,,●,●,,○,,,,●,
111,寿司,辛味噌びん長,,,●,,,,,,,,,,,,,○,●,,,●,,,○,,,,○,
112,寿司,辛味噌びんちょう軍艦,,,●,○,,,,,,,,,,,,○,●,,,●,,,○,,,,○,
113,寿司,カレイ天ぷらにぎり,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
114,寿司,かんぴょう巻,,,●,○,,,,,,,,,,,,○,○,,,●,,,○,,,,○,
115,寿司,きすの天ぷらにぎり,●,●,●,,,,,,,,○,,○,,,○,○,○,○,●,○,,○,,○,○,○,○
116,寿司,牛塩カルビ,●,●,●,,,,,,,,,,,○,,●,●,,,●,●,,○,○,○,○,○,○
117,寿司,牛塩カルビチーズ キムチのせ,●,●,●,,,,,,,,,,,○,,●,●,,,●,●,,○,○,●,○,●,○
118,寿司,牛塩カルビチーズ炙り,●,●,●,,,,,,,,,,,○,,●,●,,,●,●,,○,○,○,○,●,○
119,寿司,九州産うなぎ,,,●,,,,,,,,,,,,,○,,○,,●,,,○,,,,○,
