,区分,メニュー名称,卵,乳成分,小麦,えび,かに,そば,落花生,くるみ,アーモンド,あわび,いか,いくら,オレンジ,カシューナッツ,キウイフルーツ,牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン
477,デザート,サクサク&チョコチップアイス,○,●,●,,,,,,,,,,○,,,,,,,●,,○,,,○,,○,
478,デザート,サクサク&バニラアイス苺ソース,●,●,●,,,,,,,,,,○,,○,,○,,,●,,○,,,○,,○,○
479,デザート,ショコラケーキリッチ,●,●,●,,,,,,○,,,,○,,,,,,,●,,,,,○,,○,○
480,デザート,瀬戸内レモンのレアチーズアイスケーキ,●,●,●,,,,,,,,,,,,,,,,,●,,,,,,,,●
481,デザート,ソーダのかき氷パフェ,○,●,○,,,,,,○,,,,,,,,,,,○,,,,,○,,●,●
482,デザート,大学いも,,,,,,,,,,,,,,,,,●,,,●,,,,,,,,
483,デザート,ダブルアイスのピーチメルバ,●,●,○,,○,,○,○,○,,,,○,,○,,○,,○,●,,○,,,●,,○,○
484,デザート,チョコクッキーパフェ,●,●,●,,,,,,○,,,,○,,,,,,,●,,○,,,○,,○,●
485,デザート,チョコのミニパフェ,●,●,●,,,,,,○,,,,○,,,,,,,●,,○,,,○,,○,●
486,デザート,パインいっパインパフェ,●,●,●,,,,,,,,,,○,,,,,,,●,,○,,,○,,○,●
487,デザート,パインのミニパフェ,●,●,●,,,,,,,,,,○,,,,,,,●,,○,,,○,,○,●
488,デザート,パイン盛り,○,●,,,,,,,,,,,○,,,,,,,○,,○,,,○,,○,
489,デザート,白桃と瀬戸内レモンのパフェ,○,●,○,,○,,○,○,,,,,○,,,,,,,○,,○,,,●,,●,●
490,デザート,ぶどうとマスカット香るパフェ,●,●,●,,,,,,,,,,○,,,,,,,●,,○,,,○,,○,●
491,デザート,フローズンマンゴー,○,●,,,,,,,,,,,○,,,,,,,○,,○,,,○,,○,
492,デザート,北海道バニラアイス(カップ),,●,,,,,,,,,,,,,,,,,,●,,,,,,,,
493,デザート,北海道ミルクレープ,●,●,●,,,,,,,,,,,,,,,,,●,,,,,,,,●
494,デザート,北海道ミルクレープメルバ,●,●,●,,,,,,,,,,○,,○,,○,,,●,,○,,,○,,○,●
495,デザート,マスカットムースとミルクアイスのミニパフェ,○,●,,,,,,,,,,,○,,○,,,,,○,,○,,,○,,○,●
496,デザート,マリービスケット バニラアイスサンド,●,●,●,,,,,,,,,,○,,○,,○,,,●,,○,,,○,,○,○
497,デザート,マンゴーミルクアイスケーキ マンゴーソースがけ,●,●,●,,,,,○,○,,,,○,○,○,,○,,,●,,○,,,○,,○,●
498,デザート,マンゴーミルクアイスケーキ&ホイップ,●,●,●,,,,,○,○,,,,○,○,○,,○,,,●,,○,,,○,,○,●
499,デザート,ミックスフルーツシャーベット,○,●,○,,,,,,,,,,○,,○,,○,,,○,,○,,,●,,○,○
500,デザート,もちっとみたらし団子,,,●,,,,,,,,,,,,,,,,,●,,,,,,,,
501,デザート,もものかき氷パフェ,○,●,○,,○,,○,○,,,,,○,,,,,,,○,,○,,,●,,●,
502,デザート,もものミニパフェ,○,●,○,,○,,○,○,,,,,○,,,,,,,○,,○,,,●,,●,●
503,デザート,練乳いちごパフェ,●,●,●,,,,,,,,,,○,,○,,○,,,●,,○,,,○,,○,●
504,デザート,わらび餅と大学芋のどっちも盛り,,,,,,,,,,,,,,,,,●,,,●,,,,,,,,
505,その他,しゃり,,,○,,,,,,,,,,,,,○,,,,○,,,○,,,,○,
